"";"UF";"V2007";"V403312";"se"
"Rondônia.Homem";"Rondônia";"Homem";2027,94625361973;65,0432790324132
"Acre.Homem";"Acre";"Homem";1754,21819725253;72,3465948523224
"Amazonas.Homem";"Amazonas";"Homem";1582,64507149699;100,023126863777
"Roraima.Homem";"Roraima";"Homem";2173,70486963215;175,056434945618
"Pará.Homem";"Pará";"Homem";1660,74696816358;84,4210669010533
"Amapá.Homem";"Amapá";"Homem";1873,62768192437;113,830823817538
"Tocantins.Homem";"Tocantins";"Homem";2000,79885490979;125,080438014284
"Maranhão.Homem";"Maranhão";"Homem";1322,27123521557;38,2217242740076
"Piauí.Homem";"Piauí";"Homem";1373,7598544497;68,968689270675
"Ceará.Homem";"Ceará";"Homem";1551,29471074505;72,1045157006284
"Rio Grande do Norte.Homem";"Rio Grande do Norte";"Homem";1740,2480035331;150,582970409616
"Paraíba.Homem";"Paraíba";"Homem";1544,89076128608;107,60472785278
"Pernambuco.Homem";"Pernambuco";"Homem";1587,52848298529;66,6096360503037
"Alagoas.Homem";"Alagoas";"Homem";1555,86074012209;72,4854586153065
"Sergipe.Homem";"Sergipe";"Homem";1751,96642756532;126,382500439141
"Bahia.Homem";"Bahia";"Homem";1483,4982766129;57,538506334883
"Minas Gerais.Homem";"Minas Gerais";"Homem";2068,92098672164;50,2229094306285
"Espírito Santo.Homem";"Espírito Santo";"Homem";2173,52584328328;80,8484888708589
"Rio de Janeiro.Homem";"Rio de Janeiro";"Homem";2797,5543784254;83,814855479285
"São Paulo.Homem";"São Paulo";"Homem";3108,88186286137;127,932587289514
"Paraná.Homem";"Paraná";"Homem";2637,85757273827;77,690292356862
"Santa Catarina.Homem";"Santa Catarina";"Homem";2615,0224750796;53,4169541497462
"Rio Grande do Sul.Homem";"Rio Grande do Sul";"Homem";2627,44490960955;69,1458600044945
"Mato Grosso do Sul.Homem";"Mato Grosso do Sul";"Homem";2380,74182674562;84,973285063803
"Mato Grosso.Homem";"Mato Grosso";"Homem";2531,7451986077;83,4664202982339
"Goiás.Homem";"Goiás";"Homem";2258,48983763038;85,5358365729866
"Distrito Federal.Homem";"Distrito Federal";"Homem";4268,37008814535;292,367797389048
"Rondônia.Mulher";"Rondônia";"Mulher";1779,18818314712;119,612406258103
"Acre.Mulher";"Acre";"Mulher";1614,67471054107;68,7932122699225
"Amazonas.Mulher";"Amazonas";"Mulher";1394,18001998958;84,719742535478
"Roraima.Mulher";"Roraima";"Mulher";2320,60081548703;250,070184931175
"Pará.Mulher";"Pará";"Mulher";1345,68389960687;47,8009900401873
"Amapá.Mulher";"Amapá";"Mulher";1979,89817939581;154,659484219815
"Tocantins.Mulher";"Tocantins";"Mulher";1663,63178928397;112,60856606268
"Maranhão.Mulher";"Maranhão";"Mulher";1179,29620261741;47,7365527194676
"Piauí.Mulher";"Piauí";"Mulher";1226,54526951334;61,5618522148855
"Ceará.Mulher";"Ceará";"Mulher";1222,73487547818;51,291172204657
"Rio Grande do Norte.Mulher";"Rio Grande do Norte";"Mulher";1386,15102071153;75,4669126939423
"Paraíba.Mulher";"Paraíba";"Mulher";1355,45140933706;94,0784951790654
"Pernambuco.Mulher";"Pernambuco";"Mulher";1419,79271089279;63,9610018469194
"Alagoas.Mulher";"Alagoas";"Mulher";1391,50813294906;78,4763635871418
"Sergipe.Mulher";"Sergipe";"Mulher";1385,83369626358;121,70533609085
"Bahia.Mulher";"Bahia";"Mulher";1319,44250411688;55,7669694998137
"Minas Gerais.Mulher";"Minas Gerais";"Mulher";1524,47714858637;36,0825462820873
"Espírito Santo.Mulher";"Espírito Santo";"Mulher";1637,71901982412;61,9749270743393
"Rio de Janeiro.Mulher";"Rio de Janeiro";"Mulher";2186,10072429284;63,5128314980648
"São Paulo.Mulher";"São Paulo";"Mulher";2342,93047877887;151,667886462282
"Paraná.Mulher";"Paraná";"Mulher";1960,99404265664;58,1698188953364
"Santa Catarina.Mulher";"Santa Catarina";"Mulher";1954,04980344816;48,1320379880879
"Rio Grande do Sul.Mulher";"Rio Grande do Sul";"Mulher";1954,71712342543;53,5891231527098
"Mato Grosso do Sul.Mulher";"Mato Grosso do Sul";"Mulher";1809,41606832102;102,822374962518
"Mato Grosso.Mulher";"Mato Grosso";"Mulher";1793,16259581534;73,3997919569755
"Goiás.Mulher";"Goiás";"Mulher";1693,17187167816;58,4104019739589
"Distrito Federal.Mulher";"Distrito Federal";"Mulher";3087,9358413324;174,764835202905
