"";"V2007";"V2010";"V403312";"se"
"Homem.Branca";"Homem";"Branca";3105,7035452121;70,4555373665274
"Mulher.Branca";"Mulher";"Branca";2354,63034184337;81,4888932045375
"Homem.Preta";"Homem";"Preta";1755,8937173126;27,9502578695711
"Mulher.Preta";"Mulher";"Preta";1357,15287683184;23,6432693133754
"Homem.Amarela";"Homem";"Amarela";3974,97715591169;384,532498075608
"Mulher.Amarela";"Mulher";"Amarela";3397,21547786237;362,100242911587
"Homem.Parda";"Homem";"Parda";1763,04391430444;16,063728938659
"Mulher.Parda";"Mulher";"Parda";1392,43827192108;12,6578522187635
"Homem.Indígena";"Homem";"Indígena";1882,06897290973;123,18832916059
"Mulher.Indígena";"Mulher";"Indígena";1365,24543129434;116,39361239887
"Homem.Ignorado";"Homem";"Ignorado";5691,91078046274;2181,16219734049
"Mulher.Ignorado";"Mulher";"Ignorado";1999,74161747524;1273,5117267075
